Key Area,Question,Answer
"Python Programming & Backend Frameworks","What is Python and why is it popular for backend development?","Python is a high-level, interpreted programming language known for its simplicity and readability. It's popular for backend development because of its extensive libraries (Django, Flask, FastAPI), strong community support, rapid development capabilities, and excellent integration with AI/ML frameworks."
"Python Programming & Backend Frameworks","Explain the difference between Python 2 and Python 3.","Python 3 is the current version with better Unicode support, improved syntax, and enhanced performance. Python 2 reached end-of-life in 2020. Key differences include print() function vs print statement, integer division behavior, and string handling."
"Python Programming & Backend Frameworks","What are Python decorators and how do you use them?","Decorators are functions that modify or enhance other functions without changing their code. They use the @ symbol and are commonly used for logging, authentication, and caching. Example: @app.route('/') in Flask or @router.get('/') in FastAPI."
"Python Programming & Backend Frameworks","Explain Python's GIL (Global Interpreter Lock).","The GIL is a mutex that prevents multiple native threads from executing Python bytecodes simultaneously. It can limit performance in CPU-bound multithreaded programs but doesn't affect I/O-bound operations. For CPU-intensive tasks, multiprocessing is often preferred over multithreading."
"Python Programming & Backend Frameworks","What are Python virtual environments and why use them?","Virtual environments are isolated Python environments that allow you to manage dependencies for different projects separately. They prevent version conflicts and ensure reproducible builds. Created using venv, virtualenv, or conda."
"Python Programming & Backend Frameworks","Explain list comprehensions in Python.","List comprehensions provide a concise way to create lists. Syntax: [expression for item in iterable if condition]. Example: [x**2 for x in range(10) if x % 2 == 0] creates squares of even numbers from 0-9."
"Python Programming & Backend Frameworks","What is the difference between __str__ and __repr__ in Python?","__str__ returns a human-readable string representation, while __repr__ returns an unambiguous string representation that should ideally be valid Python code. __repr__ is used by developers for debugging, while __str__ is used for end-users."
"Python Programming & Backend Frameworks","Explain Python's memory management.","Python uses automatic memory management with reference counting and garbage collection. Objects are automatically deleted when their reference count reaches zero. The garbage collector handles circular references."
"Python Programming & Backend Frameworks","What are Python generators and yield keyword?","Generators are functions that use the yield keyword to produce a sequence of values lazily. They're memory-efficient for large datasets and create iterator objects. Example: def count(): yield 1; yield 2; yield 3"
"Python Programming & Backend Frameworks","Explain exception handling in Python.","Python uses try-except-finally blocks for exception handling. try contains code that might raise exceptions, except handles specific exceptions, and finally executes cleanup code regardless of exceptions. You can also use else clause with try-except."
"Python Programming & Backend Frameworks","What is the difference between mutable and immutable objects in Python?","Mutable objects (lists, dicts, sets) can be modified after creation, while immutable objects (strings, tuples, numbers) cannot. This affects how they're passed to functions and stored in memory."
"Python Programming & Backend Frameworks","Explain Python's import system.","Python uses modules and packages for code organization. import statement loads modules, from...import imports specific items. __init__.py files make directories into packages. sys.path determines where Python looks for modules."
"Python Programming & Backend Frameworks","What are Python context managers and the with statement?","Context managers ensure proper resource management using __enter__ and __exit__ methods. The with statement automatically handles setup and cleanup. Example: with open('file.txt') as f: ensures file is closed automatically."
"Python Programming & Backend Frameworks","Explain Python's data structures: list, tuple, set, dict.","List: ordered, mutable, allows duplicates. Tuple: ordered, immutable, allows duplicates. Set: unordered, mutable, no duplicates. Dict: unordered, mutable, key-value pairs, no duplicate keys."
"Python Programming & Backend Frameworks","What is the difference between == and is in Python?","== compares values for equality, while is compares object identity (memory location). For immutable objects like strings and numbers, Python may reuse objects, so == and is might return the same result, but they test different things."
"Python Programming & Backend Frameworks","Explain Python's lambda functions.","Lambda functions are anonymous functions defined with the lambda keyword. They can have any number of arguments but only one expression. Commonly used with map(), filter(), and reduce() functions. Example: lambda x: x * 2"
"Python Programming & Backend Frameworks","What are Python's built-in functions you should know?","Important built-in functions include: len(), type(), str(), int(), float(), list(), dict(), set(), tuple(), range(), enumerate(), zip(), map(), filter(), sorted(), max(), min(), sum(), any(), all(), and help()."
"Python Programming & Backend Frameworks","Explain Python's file handling.","Python uses open() function to handle files with modes: 'r' (read), 'w' (write), 'a' (append), 'x' (exclusive creation). Always use with statement for automatic file closing. Methods include read(), readline(), readlines(), write(), writelines()."
"Python Programming & Backend Frameworks","What is PEP 8 and why is it important?","PEP 8 is Python's official style guide covering naming conventions, code layout, comments, and documentation. Following PEP 8 improves code readability and maintainability. Tools like flake8 and black can automatically check and format code."
"Python Programming & Backend Frameworks","Explain Python's object-oriented programming concepts.","Python supports OOP with classes, objects, inheritance, polymorphism, and encapsulation. Classes define blueprints, objects are instances. Inheritance allows creating new classes based on existing ones. Polymorphism allows objects of different types to be treated uniformly."
"FastAPI & Web APIs","What is FastAPI and why is it popular?","FastAPI is a modern, fast web framework for building APIs with Python 3.7+. It's popular because of automatic API documentation, type hints support, high performance (comparable to Node.js), and built-in data validation using Pydantic."
"FastAPI & Web APIs","How do you create a basic FastAPI application?","from fastapi import FastAPI; app = FastAPI(); @app.get("/"); def read_root(): return {"Hello": "World"}. Then run with uvicorn main:app --reload. FastAPI automatically generates OpenAPI documentation at /docs."
"FastAPI & Web APIs","Explain FastAPI's dependency injection system.","FastAPI uses dependency injection to manage shared logic like database connections, authentication, and configuration. Dependencies are defined as functions and can be injected into route handlers using Depends(). They're cached by default for the same request."
"FastAPI & Web APIs","What are Pydantic models in FastAPI?","Pydantic models provide automatic data validation, serialization, and documentation. They use Python type hints to define data structures. FastAPI automatically validates request/response data against these models and generates API documentation."
"FastAPI & Web APIs","How do you handle different HTTP methods in FastAPI?","Use decorators: @app.get(), @app.post(), @app.put(), @app.delete(), @app.patch(). Each decorator corresponds to an HTTP method. You can define the same endpoint with different methods for different operations."
"FastAPI & Web APIs","Explain FastAPI's automatic API documentation.","FastAPI automatically generates interactive API documentation using OpenAPI (Swagger) at /docs and ReDoc at /redoc. The documentation includes request/response schemas, example data, and allows testing endpoints directly from the browser."
"FastAPI & Web APIs","How do you handle path parameters in FastAPI?","Path parameters are defined in the URL path using curly braces: @app.get("/items/{item_id}"). The parameter name in the function must match the path parameter. FastAPI automatically converts types based on function parameter type hints."
"FastAPI & Web APIs","How do you handle query parameters in FastAPI?","Query parameters are function parameters that aren't path parameters. They appear after ? in URLs. Example: @app.get("/items/") def read_items(skip: int = 0, limit: int = 10). FastAPI automatically handles type conversion and validation."
"FastAPI & Web APIs","How do you handle request bodies in FastAPI?","Use Pydantic models for request bodies. Example: @app.post("/items/") def create_item(item: Item). FastAPI automatically validates the JSON request body against the Pydantic model and provides detailed error messages for validation failures."
"FastAPI & Web APIs","Explain FastAPI's response models.","Response models define the structure of API responses using Pydantic models. Use response_model parameter in route decorators. FastAPI automatically serializes the response and includes it in the API documentation."
